SLY2301~Hannah Abbott
SLY2302~Euan Abercrombie
SLY2303~Stewart Ackerley
SLY2304~Bertram Aubrey
SLY2305~Avery
SLY2306~Malcolm Baddock
SLY2307~Marcus Belby
SLY2308~Katie Bell
SLY2309~Sirius Orion Black
SLY2310~Melinda Bobbin
SLY2311~Susan Bones
SLY2312~Terry Boot
SLY2313~Eleanor Branstone
SLY2315~Mandy Brocklehurst
SLY2316~Lavender Brown
SLY2317~Millicent Bulstrode
SLY2318~S. Capper
SLY2319~Eddie Carmichael
SLY2320~Owen Cauldwell
SLY2321~Cho Chang
SLY2323~Michael Corner
GRF3701~Vincent Crabbe
GRF3702~Colin Creevey
GRF3703~Dennis Creevey
GRF3704~Roger Davies
GRF3705~Cedric Diggory
GRF3706~Harold Dingle
GRF3707~Emma Dobbs
GRF3708~J. Dorny
GRF3709~B. Dunstan
GRF3710~Marietta Edgecombe
GRF3711~S. Fawcett
GRF3712~Justin Finch-Fletchley
GRF3713~Seamus Finnigan
GRF3714~Vicky Frobisher
GRF3715~Basil Fronsac
GRF3716~Anthony Goldstein
GRF3717~Gregory Goyle
RAV4301~Hermione Jean Granger
RAV4302~Daphne Greengrass
RAV4303~Gellert Grindelwald
RAV4304~Davey Gudgeon
RAV4305~Rubeus Hagrid
RAV4306~Ciceron Harkiss
RAV4307~Geoffrey Hooper
RAV4308~Olive Hornby
RAV4309~Angelina Johnson
HUF7201~Gwenog Jones
HUF7202~Lee Jordan
HUF7203~Bertha Jorkins
HUF7204~Viktor Krum
HUF7206~Bellatrix Lestrange
HUF7207~Neville Longbottom
HUF7208~Luna Lovegood
HUF7209~Remus John Lupin
HUF7210~Mary Macdonald
RAV5901~Oliver Wood
RAV5902~Isobel MacDougal
RAV5903~Morag MacDougal
RAV5904~Ernest Macmillan
RAV5905~Laura Madley
RAV5906~Draco Malfoy
RAV5907~Natalie McDonald
RAV5908~M. G. McGonagall
GRF9101~Eloise Midgen
GRF9102~Laverne de Montmorency
GRF9103~Montgomery sisters
GRF9104~Lily Moon
GRF9105~Harold Potter
GRF9106~Theodore Nott
GRF9107~Garrick Ollivander
GRF9108~Pansy Parkinson
GRF9109~Padma Patil
GRF9110~Parvati Patil
